stim_time_s,direction,actual_yaw,actual_pitch,ideal_yaw,ideal_pitch,yaw_error,pitch_error,total_deviation,directionally_detected
3,down,2.253632199376747,-2.142171121104404,2.251089298365364,-1.5989325214814487,0.002542901011383325,-0.5432385996229554,0.5432445512528067,False
6,up,2.2003656297968552,-1.5528513938506994,2.204421706374954,-1.4884708117452812,-0.004056076578098811,-0.0643805821054182,0.06450822513013278,True
9,down-right,2.3427138570909594,-0.5456058150587749,2.3427138570909594,-0.5456058150587749,0.0,0.0,0.0,True
12,down-left,2.183621170228083,-2.6096506292366004,2.183621170228083,-2.6096506292366004,0.0,0.0,0.0,True
15,right,2.2122926752251932,-1.3492008041729595,2.210916852718819,-1.1094006937478342,0.0013758225063740248,-0.23980011042512528,0.2398040571956015,False
18,left,2.204667822460281,-1.8528121898011523,2.217356233940353,-1.6325135412921745,-0.012688411480072048,-0.22029864850897773,0.22066374944872513,False
21,up,2.2084777829530524,-1.4240902296398628,2.204421706374954,-1.4884708117452812,0.0040560765780983665,0.06438058210541842,0.06450822513013298,True
24,left,2.230044645420425,-1.4122148927831968,2.217356233940353,-1.6325135412921745,0.012688411480072048,0.22029864850897773,0.22066374944872513,False
27,up-left,2.249835622940183,-1.0510244862716358,2.249835622940183,-1.0510244862716358,0.0,0.0,0.0,True
30,right,2.2095410302124456,-0.8696005833227092,2.210916852718819,-1.1094006937478342,-0.0013758225063735807,0.23980011042512506,0.2398040571956013,False
33,down,2.248546397353981,-1.0556939218584933,2.251089298365364,-1.5989325214814487,-0.002542901011382881,0.5432385996229554,0.5432445512528067,False
36,up-right,2.2249434072071668,-1.0582185218561684,2.2249434072071668,-1.0582185218561684,0.0,0.0,0.0,True
